  SAMPLE,LOCALITY,REGION,STATE,STYLE,ZONE
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
BT-twinsector,Blue Tier,Northeast Tasmania,TAS,Greisen,Sector
