  SAMPLE,LOCALITY,REGION,STATE,STYLE,ZONE
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
Bischoff_b1,Mt Bischoff,Northwest Tasmania,TAS,Skarn,Main
