  SAMPLE,LOCALITY,REGION,STATE,STYLE,ZONE
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
T1,Elsmore,New England,NSW,Vein,Main
