"  SAMPLE"	"  NUMBER"	" TAKEOFF"	"KILOVOLT"	" CURRENT"	"BEAMSIZE"	"    LINE"	"  Si WT%"	"  Na WT%"	"  Al WT%"	"  Nb WT%"	"  Sn WT%"	"   W WT%"	"  Ta WT%"	"  Ti WT%"	"  Mn WT%"	"  Fe WT%"	"  Zr WT%"	"   O WT%"	"   TOTAL"	"    SiO2"	"    Na2O"	"   Al2O3"	"   Nb2O5"	"    SnO2"	"     WO3"	"   Ta2O5"	"    TiO2"	"     MnO"	"     FeO"	"    ZrO2"	"       O"	"   TOTAL"	"  Si AT%"	"  Na AT%"	"  Al AT%"	"  Nb AT%"	"  Sn AT%"	"   W AT%"	"  Ta AT%"	"  Ti AT%"	"  Mn AT%"	"  Fe AT%"	"  Zr AT%"	"   O AT%"	"Si OXMOL%"	"Na OXMOL%"	"Al OXMOL%"	"Nb OXMOL%"	"Sn OXMOL%"	"W OXMOL%"	"Ta OXMOL%"	"Ti OXMOL%"	"Mn OXMOL%"	"Fe OXMOL%"	"Zr OXMOL%"	"O OXMOL%"	"   TOTAL"	" FORMULA"	"   BASIS"	"Si FORMULA"	"Na FORMULA"	"Al FORMULA"	"Nb FORMULA"	"Sn FORMULA"	"W FORMULA"	"Ta FORMULA"	"Ti FORMULA"	"Mn FORMULA"	"Fe FORMULA"	"Zr FORMULA"	"O FORMULA"	"Si CDL99"	"Na CDL99"	"Al CDL99"	"Nb CDL99"	"Sn CDL99"	" W CDL99"	"Ta CDL99"	"Ti CDL99"	"Mn CDL99"	"Fe CDL99"	"Zr CDL99"	"SiO2 CDL99"	"Na2O CDL99"	"Al2O3 CDL99"	"Nb2O5 CDL99"	"SnO2 CDL99"	"WO3 CDL99"	"Ta2O5 CDL99"	"TiO2 CDL99"	"MnO CDL99"	"FeO CDL99"	"ZrO2 CDL99"	"Si %ERR "	"Na %ERR "	"Al %ERR "	"Nb %ERR "	"Sn %ERR "	" W %ERR "	"Ta %ERR "	"Ti %ERR "	"Mn %ERR "	"Fe %ERR "	"Zr %ERR "	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"Si STD_NUM"	"Na STD_NUM"	"Al STD_NUM"	"Nb STD_NUM"	"Sn STD_NUM"	"W STD_NUM"	"Ta STD_NUM"	"Ti STD_NUM"	"Mn STD_NUM"	"Fe STD_NUM"	"Zr STD_NUM"	"Si STD_NAM"	"Na STD_NAM"	"Al STD_NAM"	"Nb STD_NAM"	"Sn STD_NAM"	"W STD_NAM"	"Ta STD_NAM"	"Ti STD_NAM"	"Mn STD_NAM"	"Fe STD_NAM"	"Zr STD_NAM"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	58	 .000000	 .000000	 .000000	 .022721	 77.7797	 .000000	 .001950	 .370381	 .000000	 .039690	 .018419	 21.2457	 99.4786	 .000000	 .000000	 .000000	 .032503	 98.7499	 .000000	 .002381	 .617818	 .000000	 .051062	 .024880	  .00000	 99.4786	 .000000	 .000000	 .000000	 .012277	 32.8963	 .000000	 .000541	 .388158	 .000000	 .035676	 .010136	 66.6569	 .000000	 .000000	 .000000	 .018413	 98.6790	 .000000	 .000811	 1.16436	 .000000	 .107018	 .030405	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000368	 .987034	 .000000	 .000016	 .011646	 .000000	 .001070	 .000304	 2.00000	 .011944	 .014494	 .005654	 .013175	 .016628	 .039269	 .033146	 .008224	 .013537	 .012790	 .012109	 .025553	 .019537	 .010683	 .018847	 .021111	 .049522	 .040474	 .013718	 .017480	 .016455	 .016357	 -3488.1	 -65.816	 -18.789	 41.6903	 .118327	 -57.414	 1196.30	 1.86897	 -146.19	 23.5925	 47.1177	 -11.464	 -32.625	 13.1800	 .000000	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	59	 .000000	 .000000	 .000000	 .013110	 78.4136	 .000000	 .000000	 .246881	 .000000	 .046373	 .000000	 21.3249	 100.045	 .000000	 .000000	 .000000	 .018755	 99.5547	 .000000	 .000000	 .411811	 .000000	 .059659	 .000000	 .000002	 100.045	 .000000	 .000000	 .000000	 .007057	 33.0397	 .000000	 .000000	 .257757	 .000000	 .041527	 .000000	 66.6540	 .000000	 .000000	 .000000	 .010583	 99.0918	 .000000	 .000000	 .773058	 .000000	 .124546	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000212	 .991378	 .000000	 .000000	 .007734	 .000000	 .001246	 .000000	 2.00000	 .011968	 .014508	 .005659	 .013183	 .016641	 .039282	 .033159	 .008231	 .013545	 .012797	 .012118	 .025604	 .019556	 .010692	 .018858	 .021127	 .049538	 .040489	 .013730	 .017489	 .016463	 .016369	 -166.41	 -79.710	 -21.841	 71.7651	 .117835	 -51.670	 -38.334	 2.66022	 -57.123	 20.3191	 -54.710	 -11.464	 -32.615	 13.1800	 9.99832	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	60	 .000000	 .000000	 .000000	 .039461	 78.2061	 .000000	 .000000	 .302521	 .000000	 .085074	 .000000	 21.3286	 99.9618	 .000000	 .000000	 .000000	 .056451	 99.2913	 .000000	 .000000	 .504622	 .000000	 .109448	 .000000	 .000000	 99.9618	 .000000	 .000000	 .000000	 .021235	 32.9420	 .000000	 .000000	 .315750	 .000000	 .076159	 .000000	 66.6448	 .000000	 .000000	 .000000	 .031842	 98.7928	 .000000	 .000000	 .946931	 .000000	 .228401	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000637	 .988585	 .000000	 .000000	 .009476	 .000000	 .002286	 .000000	 2.00000	 .011953	 .014499	 .005656	 .013178	 .016633	 .039274	 .033151	 .008226	 .013539	 .012792	 .012113	 .025572	 .019545	 .010687	 .018851	 .021117	 .049528	 .040480	 .013722	 .017483	 .016457	 .016362	 -84.236	 -22.818	 -19.561	 24.3133	 .118001	 -86.038	 -154.21	 2.22414	 -29.046	 11.4363	 -41.337	 -11.464	 -32.605	 13.1800	 20.0119	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	61	 .000000	 .000000	 .000000	 .029933	 78.4842	 .000000	 .051728	 .320026	 .025755	 .070423	 .000000	 21.4259	 100.408	 .000000	 .000000	 .000000	 .042821	 99.6443	 .000000	 .063163	 .533822	 .033255	 .090599	 .000000	 .000004	 100.408	 .000000	 .000000	 .000000	 .016034	 32.9081	 .000000	 .014227	 .332495	 .023330	 .062755	 .000000	 66.6430	 .000000	 .000000	 .000000	 .024045	 98.6992	 .000000	 .021335	 .997231	 .069972	 .188217	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000481	 .987595	 .000000	 .000427	 .009978	 .000700	 .001883	 .000000	 2.00000	 .011957	 .014498	 .005655	 .013181	 .016635	 .039277	 .033154	 .008226	 .013540	 .012792	 .012116	 .025580	 .019542	 .010686	 .018856	 .021120	 .049532	 .040483	 .013722	 .017483	 .016457	 .016366	 -119.63	 -26.468	 -17.768	 31.8329	 .117797	 -67.410	 45.5325	 2.11829	 38.1824	 13.6508	 -29.471	 -11.464	 -32.595	 13.1800	 29.9988	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	62	 .000000	 .000000	 .000000	 .048143	 77.8781	 .000000	 .044656	 .438838	 .000000	 .145861	 .000000	 21.3623	 99.9178	 .000000	 .000000	 .000000	 .068871	 98.8748	 .000000	 .054527	 .732007	 .000000	 .187650	 .000000	 .000004	 99.9178	 .000000	 .000000	 .000000	 .025860	 32.7447	 .000000	 .012316	 .457202	 .000000	 .130340	 .000000	 66.6296	 .000000	 .000000	 .000000	 .038769	 98.1811	 .000000	 .018464	 1.37087	 .000000	 .390810	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000776	 .982888	 .000000	 .000370	 .013724	 .000000	 .003912	 .000000	 2.00000	 .011928	 .014484	 .005651	 .013172	 .016619	 .039261	 .033139	 .008217	 .013530	 .012784	 .012106	 .025519	 .019524	 .010677	 .018843	 .021099	 .049512	 .040464	 .013706	 .017471	 .016447	 .016353	 -625.16	 -26.767	 -19.567	 20.0482	 .118266	 -75.788	 52.6522	 1.61995	 -154.14	 6.98753	 -486.89	 -11.464	 -32.585	 13.1800	 40.0085	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	63	 .000000	 .000000	 .000000	 .025411	 78.4302	 .000000	 .000000	 .270715	 .003210	 .074745	 .000000	 21.3597	 100.164	 .000000	 .000000	 .000000	 .036351	 99.5758	 .000000	 .000000	 .451569	 .004144	 .096160	 .000000	 .000002	 100.164	 .000000	 .000000	 .000000	 .013654	 32.9888	 .000000	 .000000	 .282146	 .002917	 .066816	 .000000	 66.6457	 .000000	 .000000	 .000000	 .020473	 98.9243	 .000000	 .000000	 .846079	 .008746	 .200363	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000410	 .989975	 .000000	 .000000	 .008467	 .000088	 .002005	 .000000	 2.00000	 .011965	 .014509	 .005659	 .013185	 .016643	 .039293	 .033168	 .008232	 .013547	 .012799	 .012120	 .025598	 .019558	 .010694	 .018862	 .021130	 .049552	 .040500	 .013731	 .017492	 .016466	 .016372	 -433.63	 -23.625	 -17.946	 37.3826	 .117870	 -106.15	 -473.20	 2.45242	 299.284	 12.9139	 -115.10	 -11.464	 -32.575	 13.1800	 49.9992	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	64	 .000000	 .000000	 .000000	 .000000	 78.1703	 .000000	 .000000	 .191319	 .010254	 .055184	 .000000	 21.2221	 99.6491	 .000000	 .000000	 .000000	 .000000	 99.2458	 .000000	 .000000	 .319131	 .013240	 .070995	 .000000	 .000000	 99.6491	 .000000	 .000000	 .000000	 .000000	 33.0933	 .000000	 .000000	 .200694	 .009379	 .049651	 .000000	 66.6470	 .000000	 .000000	 .000000	 .000000	 99.2213	 .000000	 .000000	 .601728	 .028119	 .148866	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000000	 .993092	 .000000	 .000000	 .006023	 .000281	 .001490	 .000000	 2.00000	 .011980	 .014517	 .005662	 .013189	 .016649	 .039297	 .033172	 .008236	 .013550	 .012802	 .012124	 .025629	 .019568	 .010698	 .018867	 .021138	 .049556	 .040505	 .013738	 .017497	 .016470	 .016378	 -743.44	 -28.056	 -17.685	 -755.02	 .118048	 -110.17	 -103.58	 3.34652	 94.4184	 17.2110	 -84.686	 -11.464	 -32.565	 13.1800	 60.0090	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	65	 .006212	 .002714	 .000000	 .000000	 78.5912	 .000000	 .000000	 .188326	 .000312	 .027201	 .000000	 21.3307	 100.147	 .013290	 .003658	 .000000	 .000000	 99.7802	 .000000	 .000000	 .314139	 .000402	 .034994	 .000000	  .00000	 100.147	 .011058	 .005902	 .000000	 .000000	 33.1063	 .000000	 .000000	 .196574	 .000284	 .024352	 .000000	 66.6555	 .033167	 .008850	 .000000	 .000000	 99.2945	 .000000	 .000000	 .589577	 .000850	 .073038	 .000000	 .000000	 100.000	 2.00000	O	 .000332	 .000177	 .000000	 .000000	 .993356	 .000000	 .000000	 .005898	 .000009	 .000731	 .000000	 2.00000	 .011979	 .014513	 .005661	 .013187	 .016647	 .039288	 .033165	 .008235	 .013548	 .012800	 .012122	 .025628	 .019563	 .010696	 .018864	 .021135	 .049546	 .040496	 .013736	 .017494	 .016467	 .016375	 134.653	 378.992	 -17.461	 -34.873	 .117698	 -46.075	 -30.944	 3.39441	 3073.54	 34.0709	 -72.487	 -11.464	 -32.555	 13.1800	 69.9997	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	66	 .000000	 .000000	 .000000	 .000000	 78.9501	 .000000	 .000000	 .173616	 .001476	 .029309	 .000000	 21.4106	 100.565	 .000000	 .000000	 .000000	 .000000	 100.236	 .000000	 .000000	 .289602	 .001906	 .037706	 .000000	 .000004	 100.565	 .000000	 .000000	 .000000	 .000000	 33.1345	 .000000	 .000000	 .180549	 .001339	 .026142	 .000000	 66.6575	 .000000	 .000000	 .000000	 .000000	 99.3761	 .000000	 .000000	 .541499	 .004015	 .078406	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000000	 .994170	 .000000	 .000000	 .005417	 .000040	 .000784	 .000000	 2.00000	 .011986	 .014518	 .005662	 .013189	 .016652	 .039297	 .033172	 .008238	 .013551	 .012803	 .012125	 .025643	 .019570	 .010699	 .018868	 .021141	 .049556	 .040505	 .013741	 .017498	 .016471	 .016379	 -87.557	 -27.168	 -17.858	 -70.531	 .117439	 -58.220	 -48.726	 3.65684	 649.669	 31.6862	 -674.17	 -11.464	 -32.545	 13.1800	 80.0095	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"T1"	2	 40.0000	 20.0000	 40.0000	 .000000	67	 .000000	 .000000	 .000000	 .000000	 78.7112	 .000000	 .000000	 .169474	 .000000	 .023125	 .000000	 21.3412	 100.245	 .000000	 .000000	 .000000	 .000000	 99.9326	 .000000	 .000000	 .282692	 .000000	 .029750	 .000000	 -.00001	 100.245	 .000000	 .000000	 .000000	 .000000	 33.1427	 .000000	 .000000	 .176820	 .000000	 .020694	 .000000	 66.6598	 .000000	 .000000	 .000000	 .000000	 99.4076	 .000000	 .000000	 .530351	 .000000	 .062070	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000000	 .994385	 .000000	 .000000	 .005305	 .000000	 .000621	 .000000	 2.00000	 .011986	 .014517	 .005662	 .013188	 .016650	 .039292	 .033169	 .008237	 .013550	 .012802	 .012124	 .025642	 .019568	 .010698	 .018866	 .021140	 .049551	 .040501	 .013740	 .017497	 .016469	 .016377	-171137.	 -315.21	 -19.111	 -132.70	 .117605	 -71.202	 -75.532	 3.73839	 -46.650	 39.9347	 -34.348	 -11.464	 -32.535	 13.1800	 90.0116	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
